dst_address_id_group,count,currency
1967,170454,LTC
316,170244,LTC
2631,170112,LTC
423,170056,LTC
916,170034,LTC
553,169920,LTC
2561,169807,LTC
2583,169792,LTC
2487,169571,LTC
2608,169508,LTC
380,169446,LTC
2562,169114,LTC
0,1581014,ZEC
95,1068521,ZEC
3,903965,ZEC
4,854844,ZEC
43,792215,ZEC
1,781173,ZEC
47,716973,ZEC
34,676682,ZEC
94,657916,ZEC
46,648685,ZEC
36,627154,ZEC
44,622324,ZEC
59,609987,ZEC
49,590189,ZEC
2,588482,ZEC
99,587104,ZEC
37,586270,ZEC
38,556491,ZEC
107,537931,ZEC
26,534284,ZEC
74,531187,ZEC
22,528853,ZEC
50,520532,ZEC
100,515043,ZEC
45,503812,ZEC
71,503061,ZEC
60,501837,ZEC
175,501472,ZEC
35,489822,ZEC
72,489598,ZEC
39,485131,ZEC
51,483357,ZEC
56,483177,ZEC
41,481715,ZEC
70,475659,ZEC
48,475476,ZEC
40,472909,ZEC
69,466089,ZEC
53,464653,ZEC
75,463602,ZEC
21,463056,ZEC
184,461160,ZEC
52,458858,ZEC
66,458812,ZEC
181,458307,ZEC
24,458252,ZEC
108,456712,ZEC
28,455080,ZEC
58,449104,ZEC
54,449046,ZEC
65,440458,ZEC
90,439328,ZEC
25,437086,ZEC
79,435051,ZEC
185,434195,ZEC
180,433495,ZEC
42,432822,ZEC
31,432252,ZEC
73,431531,ZEC
57,424153,ZEC
183,422912,ZEC
67,419507,ZEC
5,419086,ZEC
68,418442,ZEC
55,416330,ZEC
182,412527,ZEC
33,412380,ZEC
80,409618,ZEC
76,405255,ZEC
29,404859,ZEC
91,403362,ZEC
186,400232,ZEC
7,393058,ZEC
109,390133,ZEC
6,386127,ZEC
106,385004,ZEC
27,383641,ZEC
187,382857,ZEC
83,379661,ZEC
96,378412,ZEC
86,378359,ZEC
78,377837,ZEC
30,376470,ZEC
77,372530,ZEC
188,362302,ZEC
61,358348,ZEC
178,357962,ZEC
23,356841,ZEC
97,356803,ZEC
177,346206,ZEC
84,345336,ZEC
8,345099,ZEC
32,342982,ZEC
103,338819,ZEC
9,336426,ZEC
143,335963,ZEC
89,331142,ZEC
110,325009,ZEC
10,324311,ZEC
176,323490,ZEC
88,321935,ZEC
93,321714,ZEC
85,320885,ZEC
64,317725,ZEC
87,314191,ZEC
102,313587,ZEC
81,311317,ZEC
104,309125,ZEC
179,309000,ZEC
82,305508,ZEC
101,304503,ZEC
19,300207,ZEC
98,299967,ZEC
133,294192,ZEC
63,293007,ZEC
13,280763,ZEC
20,279626,ZEC
105,271035,ZEC
62,269515,ZEC
14,266875,ZEC
92,266302,ZEC
190,265805,ZEC
129,265379,ZEC
189,264820,ZEC
192,258098,ZEC
111,249300,ZEC
18,243745,ZEC
11,243545,ZEC
15,240315,ZEC
17,235744,ZEC
114,230965,ZEC
166,220389,ZEC
16,217596,ZEC
191,216736,ZEC
197,214912,ZEC
126,214520,ZEC
12,212292,ZEC
119,208381,ZEC
115,206155,ZEC
193,203565,ZEC
112,197854,ZEC
113,196450,ZEC
198,187006,ZEC
194,185284,ZEC
122,178012,ZEC
130,175708,ZEC
131,174444,ZEC
199,170615,ZEC
116,169602,ZEC
167,167368,ZEC
196,163452,ZEC
150,151300,ZEC
117,150230,ZEC
127,147861,ZEC
195,142764,ZEC
118,140896,ZEC
154,139120,ZEC
120,138624,ZEC
124,138178,ZEC
201,137208,ZEC
121,136925,ZEC
132,134675,ZEC
204,134342,ZEC
200,133891,ZEC
135,132614,ZEC
125,132085,ZEC
136,131362,ZEC
128,129945,ZEC
205,129691,ZEC
134,128930,ZEC
174,126313,ZEC
123,125308,ZEC
202,124619,ZEC
151,122172,ZEC
203,118574,ZEC
206,117605,ZEC
149,116702,ZEC
137,114711,ZEC
153,109090,ZEC
156,106061,ZEC
155,104975,ZEC
162,104006,ZEC
159,103798,ZEC
148,103695,ZEC
152,102507,ZEC
157,100257,ZEC
207,99437,ZEC
147,97400,ZEC
158,96740,ZEC
138,96718,ZEC
163,94931,ZEC
144,91582,ZEC
139,91350,ZEC
168,90117,ZEC
140,89469,ZEC
141,88760,ZEC
169,85828,ZEC
161,85622,ZEC
160,85548,ZEC
170,85355,ZEC
171,85254,ZEC
164,83919,ZEC
142,83600,ZEC
172,80859,ZEC
173,80533,ZEC
165,80167,ZEC
145,78651,ZEC
208,77426,ZEC
209,76698,ZEC
146,73254,ZEC
210,57477,ZEC
